Customer ID,Customer
1,All
1000,GE-Liming
1004,"GOODRICH,TFT"
1005,GE-HUNGARY
1008,HYDRO-AIRE
1009,SIEMENS AG
1011,HONEYWELL
1014,HALLIBURTON
1021,SIEMENS CHARLOTTE
1022,SIEMENS LINCOLN
1026,SCHLUMBERGER
1035,GE Water&Power
2005,Lufthansa1
2006,AFGlobal
2007,GE AVIATION
2008,MTU
2009,GE Oil&Gas
2011,HONEYWELL TACO
2012,Schlumberger
2013,Lincoln
2016,KuangHong
2017,AFGlobal
